,Streams,Track Name,Artist,Artist_popularity,Artist_follower,Streams1,Top10
299,87886865,Santa Tell Me,Ariana Grande,97,high,high,1
300,87250711,XO Tour Llif3,Lil Uzi Vert,92,medium,high,0
301,86810955,VIBEZ,DaBaby,95,low,high,0
302,86650523,Follow God,Kanye West,94,medium,high,0
303,86607099,CrÃ©eme,KAROL G,92,medium,high,0
304,85180047,Loco Contigo (with J. Balvin & Tyga),DJ Snake,88,medium,high,0
305,84678606,Kiss and Make Up,Dua Lipa,93,high,high,0
306,84639925,Baby (Lil Baby feat. DaBaby),Quality Control,80,very low,high,0
307,84445194,Let You Love Me,Rita Ora,84,medium,high,0
308,84331632,Homicide (feat. Eminem),Logic,87,medium,high,0
309,84174420,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,98,high,high,0
310,83761855,Vaina Loca,Ozuna,98,high,high,0
311,83274204,Ruin My Life,Zara Larsson,84,medium,high,0
312,83040132,"A Whole New World (End Title) - From ""Aladdin""",ZAYN,87,medium,high,0
313,82989855,needy,Ariana Grande,97,high,high,1
314,82943355,NASA,Ariana Grande,97,high,high,1
315,81993232,Slide Away,Miley Cyrus,87,medium,high,0
316,81880924,Solo de Mi,Bad Bunny,98,high,high,0
317,80382380,ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,95,high,high,0
318,79937113,Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie,91,low,high,0
319,79073445,Best Part (feat. Daniel Caesar),H.E.R.,83,low,high,0
320,79029303,Whine Up,Nicky Jam,94,medium,high,0
321,78574677,Te BotÃ© - Remix,Nio Garcia,78,very low,high,0
322,78393439,Nice To Meet Ya,Niall Horan,84,medium,high,0
323,77350814,Sixteen,Ellie Goulding,87,medium,high,0
324,76185026,Tal Vez,Paulo Londra,86,medium,high,0
325,75946301,Vossi Bop,Stormzy,88,very low,high,0
326,75802643,Rodeo,Lil Nas X,87,low,high,1
327,74977643,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard,86,very low,high,0
328,74936100,Speechless (feat. Erika Sirola),Robin Schulz,83,low,high,0
329,74875237,Adan y Eva,Paulo Londra,86,medium,high,0
330,74820412,Aventura,Lunay,88,very low,high,0
331,74791595,bloodline,Ariana Grande,97,high,high,1
332,74742943,Si Supieras,Daddy Yankee,95,high,high,0
333,74267188,What I Like About You (feat. Theresa Rex),Jonas Blue,85,low,high,0
334,74051416,Rise,Jonas Blue,85,low,high,0
335,73867785,It's Beginning to Look a Lot like Christmas,Michael BublÃ©,92,low,high,0
336,73509849,Envy Me,Calboy,74,very low,high,0
337,72849792,Ballin' (with Roddy Ricch),Mustard,86,very low,high,0
338,72101431,bad idea,Ariana Grande,97,high,high,1
339,71464609,Bad Bad Bad (feat. Lil Baby),Young Thug,94,medium,high,0
340,70660236,Before You Go,Lewis Capaldi,92,low,high,0
341,68882186,Lost in the Fire,Gesaffelstein,71,very low,high,0
342,67991598,Faucet Failure,Ski Mask The Slump God,84,low,high,0
343,67729637,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",Dimelo Flow,86,very low,high,0
344,67697908,Rockin' Around The Christmas Tree,Brenda Lee,78,very low,high,0
345,67633501,Soltera - Remix,Lunay,88,very low,high,0
346,67483885,Jingle Bell Rock,Bobby Helms,77,very low,high,0
347,67462701,imagine,Ariana Grande,97,high,high,1
348,67294769,Outta My Head (with John Mayer),Khalid,96,medium,high,1
349,67248354,It's You,Ali Gatie,82,very low,high,0
350,66635240,Splashin,Rich The Kid,84,low,high,0
351,66408334,Sola,Manuel Turizo,88,medium,high,0
352,66125699,We Will Rock You - Remastered,Queen,93,high,high,1
353,65760457,Baila Conmigo (feat. Kelly Ruiz),Dayvi,73,very low,high,0
354,65720175,Shotta Flow (Feat. Blueface) [Remix],NLE Choppa,86,very low,high,0
355,64548884,In My Blood,Shawn Mendes,94,high,high,1
356,63896821,Happy Now,Kygo,89,medium,high,0
357,63709203,Goteo,Duki,84,low,high,0
358,63516142,AtrÃ©vete,Nicky Jam,94,medium,high,0
359,62474037,Call You Mine,The Chainsmokers,91,high,high,0
360,62387492,Walk Me Home,P!nk,86,medium,high,0
361,62264595,Taste (feat. Offset),Tyga,92,medium,high,0
362,61920486,Space Cadet (feat. Gunna),Metro Boomin,84,low,high,0
363,61698926,Beautiful People (feat. Khalid),Ed Sheeran,98,high,high,0
364,61394737,Un AÃ±o,Sebastian Yatra,89,medium,high,0
365,61382579,Mad Love,Mabel,82,very low,high,0
366,61286419,Mistletoe,Justin Bieber,96,high,high,0
367,61022698,Last Hurrah,Bebe Rexha,87,medium,high,0
368,60931816,Good Thing (with Kehlani),Zedd,86,medium,high,0
369,60904648,QuÃ© Pena,Maluma,92,high,high,0
370,60567142,No Stylist,French Montana,87,low,high,0
371,60557631,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),Megan Thee Stallion,81,very low,high,0
372,59874721,Earth,Lil Dicky,75,low,high,0
373,59770981,Roller,Apache 207,86,very low,high,0
374,59596779,Fuck Love (feat. Trippie Redd),XXXTENTACION,95,high,high,1
375,59018397,Hope,The Chainsmokers,91,high,high,0
376,58832475,BEBE,6ix9ine,84,medium,high,0
377,58037838,Just You and I,Tom Walker,79,very low,high,0
378,57863692,Mean It,Lauv,91,low,high,0
379,57546735,Soltera (Remix),Lunay,88,very low,high,0
380,57532684,I,Lil Skies,85,low,high,0
381,57407596,Be Alright,Dean Lewis,83,very low,high,0
382,57287205,Te Quemaste,Manuel Turizo,88,medium,high,0
383,56889039,MALA,6ix9ine,84,medium,high,0
384,56856669,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,94,medium,high,0
385,56718657,Falling Down - Bonus Track,Lil Peep,88,low,high,0
386,56276750,Adore You,Harry Styles,95,medium,high,0
387,56248812,KIKA,6ix9ine,84,medium,high,0
388,55994906,The Man,Taylor Swift,95,high,high,0
389,55974748,Pop Out (feat. Lil Tjay),Polo G,82,very low,high,0
390,55734953,Post Malone (feat. RANI),Sam Feldt,82,very low,high,0
391,55379203,Electricity (with Dua Lipa),Silk City,71,very low,high,0
392,54628767,Yellow Hearts,Ant Saunders,78,very low,high,0
393,54381541,Soltera,Lunay,88,very low,high,0
394,54049851,Imposible,Luis Fonsi,84,medium,high,0
395,53532993,fake smile,Ariana Grande,97,high,high,1
396,53297394,Ayy Macarena,Tyga,92,medium,high,0
397,53227435,Nightmare,Halsey,92,medium,high,0
398,52135948,imagine,Ariana Grande,97,high,high,1
399,52071069,Watermelon Sugar,Harry Styles,95,medium,high,0
400,51953252,Clout (feat. Cardi B),Offset,89,low,high,0
401,51839268,Hola - Remix,Dalex,93,very low,high,0
402,51738810,wish you were gay,Billie Eilish,98,high,high,1
403,51498467,Pure Water (with Migos),Mustard,86,very low,high,0
404,51480619,Nights Like This (feat. Ty Dolla $ign),Kehlani,85,low,high,0
405,51390232,Te SoÃ±Ã© De Nuevo,Ozuna,98,high,high,0
406,51316997,Look Alive (feat. Drake),BlocBoy JB,76,very low,high,0
407,51224204,Back To You - From 13 Reasons Why â Season 2 Soundtrack,Selena Gomez,93,high,high,0
408,51110073,My Oh My (feat. DaBaby),Camila Cabello,96,high,high,0
409,51038445,Somebody To Love - 2011 Mix,Queen,93,high,high,1
410,50959569,I Love It (& Lil Pump),Kanye West,94,medium,high,0
411,50483678,Behind Barz - Bonus,Drake,99,high,high,0
412,50467346,Circles,Post Malone,100,high,high,1
413,50353687,Stuck In A Dream (feat. Gunna),Lil Mosey,85,low,high,0
414,50026802,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,88,low,high,0
415,49905567,Find U Again (feat. Camila Cabello),Mark Ronson,83,very low,high,0
416,49873588,Happy Xmas (War Is Over) - Remastered,John Lennon,80,low,high,0
417,49793178,Holly Jolly Christmas,Michael BublÃ©,92,low,high,0
418,49751673,whoa (mind in awe),XXXTENTACION,95,high,high,1
419,49406835,Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,87,medium,high,0
420,49342091,Ya No Tiene Novio,Sebastian Yatra,89,medium,high,0
421,49239706,ilomilo,Billie Eilish,98,high,high,1
422,49191822,Feelings,Lauv,91,low,high,0
423,49189086,Don't Check On Me (feat. Justin Bieber & Ink),Chris Brown,93,medium,high,0
424,49108326,Woah,Lil Baby,93,low,high,0
425,48866057,Roller,Apache 207,86,very low,high,0
426,48691209,Walk Me Home,P!nk,86,medium,high,0
427,48576007,Bola Rebola,Tropkillaz,70,very low,high,0
428,48302613,Noticed,Lil Mosey,85,low,high,0
429,48293521,365,Zedd,86,medium,medium,0
430,48239884,On A Roll,Ashley O,60,very low,medium,0
431,48225816,La Boca - Remix,Mau y Ricky,83,low,medium,0
432,47781640,Die For Me (feat. Future & Halsey),Post Malone,100,high,medium,1
433,47511933,Up All Night,Khalid,96,medium,medium,1
434,47437538,breathin,Ariana Grande,97,high,medium,1
435,47378044,Asesina - Remix,Brytiago,85,low,medium,0
436,47176776,Nights Like This (feat. Ty Dolla $ign),Kehlani,85,low,medium,0
437,47128981,Watermelon Sugar,Harry Styles,95,medium,medium,0
438,46697521,Keanu Reeves,Logic,87,medium,medium,0
439,46501607,Good As Hell,Lizzo,88,low,medium,0
440,46081673,Remember The Name (feat. Eminem & 50 Cent),Ed Sheeran,98,high,medium,0
441,45997391,Culpables,KAROL G,92,medium,medium,0
442,45803074,YOSEMITE,Travis Scott,98,medium,medium,0
443,45686483,God is a woman,Ariana Grande,97,high,medium,1
444,45632927,Pa Olvidarte (feat. Manuel Turizo) - Remix,ChocQuibTown,71,very low,medium,0
445,45499626,Cruel Summer,Taylor Swift,95,high,medium,0
446,45357234,My Bad,Khalid,96,medium,medium,1
447,45354784,listen before i go,Billie Eilish,98,high,medium,1
448,45244592,Underneath the Tree,Kelly Clarkson,84,medium,medium,0
449,45049252,Candy,Doja Cat,86,very low,medium,0
450,44900506,R.I.P. (feat. Rita Ora & Anitta),Sofia Reyes,77,very low,medium,0
451,44810524,MONOPOLY (with Victoria MonÃ©t),Ariana Grande,97,high,medium,1
452,44787533,Lonely (with Jonas Brothers),Diplo,90,low,medium,0
453,44652863,No Guidance (feat. Drake),Chris Brown,93,medium,medium,0
454,44531910,Be Honest (feat. Burna Boy),Jorja Smith,80,very low,medium,0
455,44259294,Cuando Te BesÃ©,Becky G,87,medium,medium,0
456,43993291,Rebota - Remix,Guaynaa,79,very low,medium,0
457,43970634,Mad Love,Mabel,82,very low,medium,0
458,43782494,Juice,Lizzo,88,low,medium,0
459,43513294,ghostin,Ariana Grande,97,high,medium,1
460,43487716,ROXANNE,Arizona Zervas,89,very low,medium,0
461,42927283,Swing,Danny Ocean,80,low,medium,0
462,42912960,Happier,Ed Sheeran,98,high,medium,0
463,42910172,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,82,medium,medium,0
464,42873724,Make It Right (feat. Lauv),BTS,93,high,medium,0
465,42718445,Fast,Juice WRLD,98,medium,medium,0
466,42641630,Right Back (feat. A Boogie Wit Da Hoodie),Khalid,96,medium,medium,1
467,42578129,La Boca,Mau y Ricky,83,low,medium,0
468,42454667,VALENTINO,24kGoldn,77,very low,medium,0
469,42312635,Bellacoso,Residente,72,very low,medium,0
470,42304213,Driving Home for Christmas - 2019 Remaster,Chris Rea,75,very low,medium,0
471,41805799,Swan Song,Dua Lipa,93,high,medium,0
472,41618464,Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version,Paul McCartney,81,low,medium,0
473,41578309,Ric Flair Drip (& Metro Boomin),Offset,90,medium,medium,0
474,41549584,No Idea,Don Toliver,85,very low,medium,0
475,41523655,My Bad,Khalid,96,medium,medium,1
476,41102869,F.N,Lil Tjay,87,very low,medium,0
477,41068193,Trigger,Major Lazer,86,medium,medium,0
478,40972693,Lover (Remix) [feat. Shawn Mendes],Taylor Swift,95,high,medium,0
479,40593143,The Box,Roddy Ricch,93,very low,medium,0
480,40538055,HUMBLE.,Kendrick Lamar,91,high,medium,0
481,40454481,Saint-Tropez,Post Malone,100,high,medium,1
482,40403215,SLOW DANCING IN THE DARK,Joji,86,low,medium,0
483,40313244,Futsal Shuffle 2020,Lil Uzi Vert,92,medium,medium,0
484,40291681,Undecided,Chris Brown,93,medium,medium,0
485,40101400,Contra La Pared,Sean Paul,85,low,medium,0
486,39626507,Writing on the Wall (feat. Post Malone & Cardi B),French Montana,87,low,medium,0
